Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6666666666666666,0.6687414899824937,0.6666666666666666,0.6675824175824175
Gradient Boosting,0.64,0.6373347312581323,0.64,0.6384616150057217
SVC,0.6366666666666667,0.6386056622505221,0.6366666666666667,0.6368792369272697
Gaussian NB,0.6333333333333333,0.6317586759504863,0.6333333333333333,0.6298347578347577
AdaBoost,0.6133333333333333,0.6212346797225623,0.6133333333333333,0.6156236688950257
Extra Trees,0.61,0.6126657567242071,0.61,0.611118511048667
Random Forest,0.6066666666666667,0.6090293967342371,0.6066666666666667,0.6064133079573105
K-Neighbors,0.5366666666666666,0.541394065590838,0.5366666666666666,0.5370016406890895
Decision Tree,0.5333333333333333,0.5352624576681181,0.5333333333333333,0.5336149957338686
